seed,fitness original,fitness BT-Factor,fitness RE-BT,BT-Factor: delta fitness,BT-Factor (DNF) delta fitness,RE:BT: delta fitness,Possible to minimize?,Original battery over?,BT-Factor battery over?,BT-Factor dnf battery over?,RE:BT battery over?,RE:BT (no pruning) battery over?
166,35,35,35,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
167,38,38,37,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
168,46,46,39,0,0,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
169,36,36,36,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
170,44,44,46,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
171,43,43,43,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
172,32,32,30,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
173,34,34,31,0,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
174,37,37,37,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
175,37,37,33,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
176,41,41,26,0,0,15,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
177,41,41,36,0,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
178,33,33,33,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
179,39,39,39,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
180,45,45,9.5,0,0,35.5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
181,38,38,26,0,0,12,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
182,44,44,45,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
183,39,39,4.75,0,0,34.25,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
184,38,38,40,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
185,30,30,30,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
186,38,38,22,0,0,16,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
187,42,42,5.25,0,0,36.75,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
188,37,37,21,0,0,16,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
189,37,37,37,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
190,30,30,29,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
191,35,35,35,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
192,34,34,32,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
193,28,28,3.25,0,0,24.75,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
194,42,42,40,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
195,36,36,34,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
196,36,36,32,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
197,36,36,32,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
198,44,44,42,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
199,38,38,7.75,0,0,30.25,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
